International plan,Voice mail plan,Number vmail messages,Total day minutes,Total eve minutes,Total night minutes,Customer service calls,Churn
Yes,Yes,36,324.53,243.18,167.15,6,1
No,Yes,12,238.83,292.25,226.72,7,1
No,No,0,235.11,182.12,229.26,4,1
Yes,No,0,208.36,191.17,203.79,6,1
No,Yes,13,318.01,222.48,177.57,5,1
No,No,0,333.2,266.54,177.89,5,1
Yes,Yes,38,279.69,217.23,187.13,6,1
No,Yes,6,324.96,188.1,171.77,7,1
Yes,No,0,227.62,224.45,181.02,7,1
Yes,No,0,279.31,186.57,235.09,6,1
No,No,0,254.1,224.64,168.36,6,1
No,No,0,314.87,298.36,242.13,5,1
Yes,Yes,37,318.93,271.77,223.35,6,1
No,Yes,24,333.11,186.76,177.05,4,1
No,Yes,18,294.66,278.67,198.02,7,1
Yes,No,0,259.68,286.71,181.66,5,1
Yes,Yes,36,244.99,250.47,182.78,6,1
Yes,Yes,30,243.22,283.62,185.65,6,1
No,Yes,10,267.73,274.75,220.85,7,1
Yes,No,0,260.69,200.02,182.72,4,1
Yes,Yes,34,315.76,260.1,208.38,5,1
No,No,0,213.94,283.6,228.61,5,1
No,Yes,14,287.75,273.78,236.03,5,1
