International plan,Voice mail plan,Number vmail messages,Total day minutes,Total eve minutes,Total night minutes,Customer service calls,Churn
Yes,No,0,182.36,260.39,105.09,5,1
Yes,No,0,262.43,99.2,53.47,6,1
No,Yes,32,273.63,286.19,130.87,4,1
Yes,Yes,24,172.89,210.82,208.96,6,1
No,Yes,29,92.93,82.49,227.65,3,0
No,Yes,35,195.22,79.89,156.76,1,0
Yes,No,0,180.84,211.21,172.09,7,1
No,No,0,131.49,273.3,137.41,3,0
No,Yes,12,255.96,94.69,197.47,7,1
Yes,Yes,35,292.45,153.69,132.07,0,1
No,Yes,32,221.32,235.61,96.65,5,1
Yes,No,0,128.82,215.82,192.61,5,1
No,No,0,69.62,139.82,177.47,0,0
Yes,Yes,17,209.87,169.92,54.85,2,0
No,Yes,26,145.37,57.88,71.68,2,0
No,Yes,27,337.04,152.46,233.94,6,1
No,No,0,285.28,170.15,121.23,7,1
No,No,0,287.41,59.42,50.98,4,1
Yes,Yes,18,276.28,208.43,64.26,3,1
No,Yes,3,245.9,100.76,103.81,3,0
Yes,Yes,14,116.2,223.47,100.48,6,1
Yes,Yes,35,160.97,213.65,117.61,3,1
Yes,No,0,229.74,299.35,72.93,6,1
